timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1480464626213,227,Register Page,200,OK,JMeter USER_TEST 1-5,text,true,,1174,2,2,227,0
1480464626440,98,Login Page,200,OK,JMeter USER_TEST 1-5,text,true,,1992,2,2,97,0
1480464626185,592,Tutor Create Page,200,OK,JMeter USER_TEST 1-4,text,true,,1519,2,2,373,0
1480464626538,256,Login Post,200,OK,JMeter USER_TEST 1-5,text,true,,1885,2,2,190,0
1480464626795,170,User Listing Page,200,OK,JMeter USER_TEST 1-5,text,true,,2006,2,2,170,0
1480464626777,226,Logout Page,200,OK,JMeter USER_TEST 1-4,text,true,,1824,2,2,163,0
1480464626966,535,Course Listing Page,200,OK,JMeter USER_TEST 1-5,text,true,,2651,1,1,534,0
1480464627528,72,Index Page,200,OK,JMeter USER_TEST 1-6,text,true,,1503,2,2,71,0
1480464627600,91,Register Page,200,OK,JMeter USER_TEST 1-6,text,true,,2432,2,2,91,0
1480464627501,249,Tutor Create Page,200,OK,JMeter USER_TEST 1-5,text,true,,2892,2,2,249,0
1480464627691,205,Register Page,200,OK,JMeter USER_TEST 1-6,text,true,,1174,2,2,205,0
1480464627897,90,Login Page,200,OK,JMeter USER_TEST 1-6,text,true,,1992,2,2,90,0
1480464627988,274,Login Post,200,OK,JMeter USER_TEST 1-6,text,true,,1885,2,2,204,0
1480464627751,598,Tutor Create Page,200,OK,JMeter USER_TEST 1-5,text,true,,1519,2,2,364,0
1480464628263,178,User Listing Page,200,OK,JMeter USER_TEST 1-6,text,true,,2077,2,2,178,0
1480464628349,219,Logout Page,200,OK,JMeter USER_TEST 1-5,text,true,,1824,2,2,150,0
1480464628442,595,Course Listing Page,200,OK,JMeter USER_TEST 1-6,text,true,,2651,2,2,595,0
